"Caller","Sensitivity","Precision","T_coverage","N_coverage","VAF","BND_threshold"
"MantaLumpyUnion",0.906428571428571,0.93431483578709,30,30,0.8,50
"MantaLumpyUnion",0.907857142857143,0.940273037542662,30,30,0.8,100
"MantaLumpyUnion",0.908571428571429,0.942450142450142,30,30,0.8,150
"MantaLumpyUnion",0.908571428571429,0.947308132875143,30,30,0.8,200
"MantaLumpyUnion",0.883571428571429,0.889621087314662,30,30,1,2
"MantaLumpyUnion",0.907857142857143,0.919623059866962,30,30,1,5
"MantaLumpyUnion",0.910714285714286,0.929208472686734,30,30,1,50
"MantaLumpyUnion",0.910714285714286,0.935465768799102,30,30,1,100
"MantaLumpyUnion",0.911428571428571,0.937605396290051,30,30,1,150
"MantaLumpyUnion",0.911428571428571,0.939718309859155,30,30,1,200
"MantaLumpyUnion",0.127857142857143,0.809139784946237,30,45,0.05,2
"MantaLumpyUnion",0.135714285714286,0.856756756756757,30,45,0.05,5
"MantaLumpyUnion",0.140714285714286,0.891008174386921,30,45,0.05,50
"MantaLumpyUnion",0.145,0.935754189944134,30,45,0.05,100
"MantaLumpyUnion",0.147142857142857,0.960339943342776,30,45,0.05,150
"MantaLumpyUnion",0.147857142857143,0.965909090909091,30,45,0.05,200
"MantaLumpyUnion",0.334285714285714,0.75,30,45,0.1,2
"MantaLumpyUnion",0.353571428571429,0.783983140147524,30,45,0.1,5
"MantaLumpyUnion",0.381428571428571,0.856677524429967,30,45,0.1,50
"MantaLumpyUnion",0.405714285714286,0.924972004479283,30,45,0.1,100
"MantaLumpyUnion",0.412142857142857,0.963176064441887,30,45,0.1,150
"MantaLumpyUnion",0.412857142857143,0.973317865429234,30,45,0.1,200
"MantaLumpyUnion",0.653571428571429,0.829758713136729,30,45,0.2,2
"MantaLumpyUnion",0.675,0.858592692828146,30,45,0.2,5
"MantaLumpyUnion",0.691428571428571,0.901045296167247,30,45,0.2,50
"MantaLumpyUnion",0.710714285714286,0.946953405017921,30,45,0.2,100
"MantaLumpyUnion",0.712857142857143,0.962909090909091,30,45,0.2,150
"MantaLumpyUnion",0.713571428571429,0.96504005826657,30,45,0.2,200
"MantaLumpyUnion",0.841428571428571,0.902237926972909,30,45,0.5,2
"MantaLumpyUnion",0.86,0.929720071471114,30,45,0.5,5
"MantaLumpyUnion",0.867142857142857,0.941387559808612,30,45,0.5,50
"MantaLumpyUnion",0.872857142857143,0.951292844257366,30,45,0.5,100
"MantaLumpyUnion",0.873571428571429,0.955917874396135,30,45,0.5,150
"MantaLumpyUnion",0.874285714285714,0.957678355501814,30,45,0.5,200
"MantaLumpyUnion",0.887142857142857,0.896781354051054,30,45,0.8,2
"MantaLumpyUnion",0.907857142857143,0.922689075630252,30,45,0.8,5
"MantaLumpyUnion",0.91,0.932432432432432,30,45,0.8,50
"MantaLumpyUnion",0.911428571428571,0.938348416289593,30,45,0.8,100
"MantaLumpyUnion",0.912142857142857,0.940509915014164,30,45,0.8,150
"MantaLumpyUnion",0.912142857142857,0.945868945868946,30,45,0.8,200
"MantaLumpyUnion",0.882142857142857,0.888035126234907,30,45,1,2
"MantaLumpyUnion",0.907142857142857,0.918559556786704,30,45,1,5
"MantaLumpyUnion",0.91,0.928651059085842,30,45,1,50
"MantaLumpyUnion",0.91,0.934380257992148,30,45,1,100
"MantaLumpyUnion",0.910714285714286,0.936516853932584,30,45,1,150
"MantaLumpyUnion",0.910714285714286,0.939684329199549,30,45,1,200
"MantaLumpyUnion",0.128571428571429,0.803191489361702,30,60,0.05,2
"MantaLumpyUnion",0.136428571428571,0.852941176470588,30,60,0.05,5
"MantaLumpyUnion",0.141428571428571,0.886792452830189,30,60,0.05,50
"MantaLumpyUnion",0.145714285714286,0.933518005540166,30,60,0.05,100
"MantaLumpyUnion",0.147857142857143,0.957865168539326,30,60,0.05,150
"MantaLumpyUnion",0.148571428571429,0.966101694915254,30,60,0.05,200
"MantaLumpyUnion",0.335,0.749738219895288,30,60,0.1,2
"MantaLumpyUnion",0.354285714285714,0.782791185729276,30,60,0.1,5
"MantaLumpyUnion",0.382857142857143,0.856216216216216,30,60,0.1,50
"MantaLumpyUnion",0.407142857142857,0.924191750278707,30,60,0.1,100
"MantaLumpyUnion",0.413571428571429,0.962199312714777,30,60,0.1,150
"MantaLumpyUnion",0.414285714285714,0.973410404624277,30,60,0.1,200
"MantaLumpyUnion",0.656428571428571,0.831882116543871,30,60,0.2,2
"MantaLumpyUnion",0.678571428571429,0.861392832995267,30,60,0.2,5
"MantaLumpyUnion",0.695,0.902642559109875,30,60,0.2,50
"MantaLumpyUnion",0.715,0.948534667619728,30,60,0.2,100
"MantaLumpyUnion",0.717142857142857,0.963070238957277,30,60,0.2,150
"MantaLumpyUnion",0.717857142857143,0.965192168237853,30,60,0.2,200
"MantaLumpyUnion",0.841428571428571,0.901706886403767,30,60,0.5,2
"MantaLumpyUnion",0.86,0.929166666666667,30,60,0.5,5
"MantaLumpyUnion",0.867142857142857,0.940824865511058,30,60,0.5,50
"MantaLumpyUnion",0.872857142857143,0.950721153846154,30,60,0.5,100
"MantaLumpyUnion",0.873571428571429,0.955340977670489,30,60,0.5,150
"MantaLumpyUnion",0.874285714285714,0.957678355501814,30,60,0.5,200
"MantaLumpyUnion",0.885714285714286,0.897664071190211,30,60,0.8,2
"MantaLumpyUnion",0.905,0.922515440763616,30,60,0.8,5
"MantaLumpyUnion",0.907142857142857,0.932279909706546,30,60,0.8,50
"MantaLumpyUnion",0.908571428571429,0.938208616780045,30,60,0.8,100
"MantaLumpyUnion",0.909285714285714,0.940374787052811,30,60,0.8,150
"MantaLumpyUnion",0.909285714285714,0.945745288406625,30,60,0.8,200
"MantaLumpyUnion",0.88,0.886875343218012,30,60,1,2
"MantaLumpyUnion",0.905,0.917405764966741,30,60,1,5
"MantaLumpyUnion",0.907857142857143,0.927495817066369,30,60,1,50
"MantaLumpyUnion",0.907857142857143,0.933221099887767,30,60,1,100
"MantaLumpyUnion",0.908571428571429,0.935356942102305,30,60,1,150
"MantaLumpyUnion",0.908571428571429,0.938522278623801,30,60,1,200
"MantaLumpyUnion",0.127857142857143,0.805333333333333,30,75,0.05,2
"MantaLumpyUnion",0.135714285714286,0.855227882037534,30,75,0.05,5
"MantaLumpyUnion",0.140714285714286,0.889189189189189,30,75,0.05,50
"MantaLumpyUnion",0.145,0.936111111111111,30,75,0.05,100
"MantaLumpyUnion",0.147142857142857,0.96056338028169,30,75,0.05,150
"MantaLumpyUnion",0.147857142857143,0.966101694915254,30,75,0.05,200
"MantaLumpyUnion",0.335714285714286,0.750785340314136,30,75,0.1,2
"MantaLumpyUnion",0.355,0.784663865546218,30,75,0.1,5
"MantaLumpyUnion",0.383571428571429,0.858225108225108,30,75,0.1,50
"MantaLumpyUnion",0.407857142857143,0.92530657748049,30,75,0.1,100
"MantaLumpyUnion",0.414285714285714,0.963344788087056,30,75,0.1,150
"MantaLumpyUnion",0.415,0.973441108545035,30,75,0.1,200
"MantaLumpyUnion",0.655,0.830542531815137,30,75,0.2,2
"MantaLumpyUnion",0.676428571428571,0.859364435429344,30,75,0.2,5
"MantaLumpyUnion",0.692857142857143,0.901183020180933,30,75,0.2,50
