"Caller","Sensitivity","Precision","T_coverage","N_coverage","VAF","BND_threshold"
"MantaLumpyIntersect",0.678571428571429,0.976226993865031,20,90,0.8,50
"MantaLumpyIntersect",0.679285714285714,0.976245210727969,20,90,0.8,100
"MantaLumpyIntersect",0.679285714285714,0.976245210727969,20,90,0.8,150
"MantaLumpyIntersect",0.679285714285714,0.976245210727969,20,90,0.8,200
"MantaLumpyIntersect",0.673571428571429,0.950338600451467,20,90,1,2
"MantaLumpyIntersect",0.686428571428571,0.974144486692015,20,90,1,5
"MantaLumpyIntersect",0.686428571428571,0.974144486692015,20,90,1,50
"MantaLumpyIntersect",0.689285714285714,0.974222896133434,20,90,1,100
"MantaLumpyIntersect",0.689285714285714,0.974222896133434,20,90,1,150
"MantaLumpyIntersect",0.689285714285714,0.974222896133434,20,90,1,200
"MantaLumpyIntersect",0.0278571428571429,0.942857142857143,30,15,0.05,2
"MantaLumpyIntersect",0.0292857142857143,0.990384615384615,30,15,0.05,5
"MantaLumpyIntersect",0.0292857142857143,0.990384615384615,30,15,0.05,50
"MantaLumpyIntersect",0.03,0.990476190476191,30,15,0.05,100
"MantaLumpyIntersect",0.03,0.990476190476191,30,15,0.05,150
"MantaLumpyIntersect",0.03,0.990476190476191,30,15,0.05,200
"MantaLumpyIntersect",0.157142857142857,0.96144578313253,30,15,0.1,2
"MantaLumpyIntersect",0.162142857142857,0.98792270531401,30,15,0.1,5
"MantaLumpyIntersect",0.162142857142857,0.98792270531401,30,15,0.1,50
"MantaLumpyIntersect",0.165714285714286,0.988066825775656,30,15,0.1,100
"MantaLumpyIntersect",0.165714285714286,0.988066825775656,30,15,0.1,150
"MantaLumpyIntersect",0.165714285714286,0.988066825775656,30,15,0.1,200
"MantaLumpyIntersect",0.447142857142857,0.95046439628483,30,15,0.2,2
"MantaLumpyIntersect",0.458571428571429,0.979144942648592,30,15,0.2,5
"MantaLumpyIntersect",0.458571428571429,0.979144942648592,30,15,0.2,50
"MantaLumpyIntersect",0.471428571428571,0.979529170931423,30,15,0.2,100
"MantaLumpyIntersect",0.472142857142857,0.979550102249489,30,15,0.2,150
"MantaLumpyIntersect",0.472142857142857,0.979550102249489,30,15,0.2,200
"MantaLumpyIntersect",0.650714285714286,0.947812739831159,30,15,0.5,2
"MantaLumpyIntersect",0.664285714285714,0.97360248447205,30,15,0.5,5
"MantaLumpyIntersect",0.665,0.973622963537626,30,15,0.5,50
"MantaLumpyIntersect",0.667142857142857,0.973684210526316,30,15,0.5,100
"MantaLumpyIntersect",0.667142857142857,0.973684210526316,30,15,0.5,150
"MantaLumpyIntersect",0.667142857142857,0.973684210526316,30,15,0.5,200
"MantaLumpyIntersect",0.675,0.951274362818591,30,15,0.8,2
"MantaLumpyIntersect",0.687857142857143,0.974261922785768,30,15,0.8,5
"MantaLumpyIntersect",0.689285714285714,0.974300831443689,30,15,0.8,50
"MantaLumpyIntersect",0.693571428571429,0.974416854778029,30,15,0.8,100
"MantaLumpyIntersect",0.693571428571429,0.974416854778029,30,15,0.8,150
"MantaLumpyIntersect",0.693571428571429,0.974416854778029,30,15,0.8,200
"MantaLumpyIntersect",0.677142857142857,0.947133283693224,30,15,1,2
"MantaLumpyIntersect",0.694285714285714,0.974436090225564,30,15,1,5
"MantaLumpyIntersect",0.695,0.974455296769346,30,15,1,50
"MantaLumpyIntersect",0.695714285714286,0.974474474474474,30,15,1,100
"MantaLumpyIntersect",0.695714285714286,0.974474474474474,30,15,1,150
"MantaLumpyIntersect",0.695714285714286,0.974474474474474,30,15,1,200
"MantaLumpyIntersect",0.0342857142857143,0.940677966101695,30,30,0.05,2
"MantaLumpyIntersect",0.0364285714285714,0.991452991452991,30,30,0.05,5
"MantaLumpyIntersect",0.0364285714285714,0.991452991452991,30,30,0.05,50
"MantaLumpyIntersect",0.0371428571428571,0.991525423728814,30,30,0.05,100
"MantaLumpyIntersect",0.0371428571428571,0.991525423728814,30,30,0.05,150
"MantaLumpyIntersect",0.0371428571428571,0.991525423728814,30,30,0.05,200
"MantaLumpyIntersect",0.177142857142857,0.963718820861678,30,30,0.1,2
"MantaLumpyIntersect",0.182142857142857,0.990888382687927,30,30,0.1,5
"MantaLumpyIntersect",0.182142857142857,0.990888382687927,30,30,0.1,50
"MantaLumpyIntersect",0.185714285714286,0.990990990990991,30,30,0.1,100
"MantaLumpyIntersect",0.185714285714286,0.990990990990991,30,30,0.1,150
"MantaLumpyIntersect",0.185714285714286,0.990990990990991,30,30,0.1,200
"MantaLumpyIntersect",0.460714285714286,0.951367781155015,30,30,0.2,2
"MantaLumpyIntersect",0.471428571428571,0.979508196721312,30,30,0.2,5
"MantaLumpyIntersect",0.471428571428571,0.979508196721312,30,30,0.2,50
"MantaLumpyIntersect",0.484285714285714,0.979879275653924,30,30,0.2,100
"MantaLumpyIntersect",0.485,0.979899497487437,30,30,0.2,150
"MantaLumpyIntersect",0.485,0.979899497487437,30,30,0.2,200
"MantaLumpyIntersect",0.657857142857143,0.948170731707317,30,30,0.5,2
"MantaLumpyIntersect",0.671428571428571,0.97378565921357,30,30,0.5,5
"MantaLumpyIntersect",0.671428571428571,0.97378565921357,30,30,0.5,50
"MantaLumpyIntersect",0.673571428571429,0.973846153846154,30,30,0.5,100
"MantaLumpyIntersect",0.673571428571429,0.973846153846154,30,30,0.5,150
"MantaLumpyIntersect",0.673571428571429,0.973846153846154,30,30,0.5,200
"MantaLumpyIntersect",0.684285714285714,0.951744617668894,30,30,0.8,2
"MantaLumpyIntersect",0.697142857142857,0.974512743628186,30,30,0.8,5
"MantaLumpyIntersect",0.697857142857143,0.974531835205993,30,30,0.8,50
"MantaLumpyIntersect",0.702142857142857,0.974645786726324,30,30,0.8,100
"MantaLumpyIntersect",0.702142857142857,0.974645786726324,30,30,0.8,150
"MantaLumpyIntersect",0.702142857142857,0.974645786726324,30,30,0.8,200
"MantaLumpyIntersect",0.683571428571429,0.947485207100592,30,30,1,2
"MantaLumpyIntersect",0.700714285714286,0.974607916355489,30,30,1,5
"MantaLumpyIntersect",0.700714285714286,0.974607916355489,30,30,1,50
"MantaLumpyIntersect",0.701428571428571,0.974626865671642,30,30,1,100
"MantaLumpyIntersect",0.701428571428571,0.974626865671642,30,30,1,150
"MantaLumpyIntersect",0.701428571428571,0.974626865671642,30,30,1,200
"MantaLumpyIntersect",0.0378571428571429,0.944444444444444,30,45,0.05,2
"MantaLumpyIntersect",0.04,0.992,30,45,0.05,5
"MantaLumpyIntersect",0.04,0.992,30,45,0.05,50
"MantaLumpyIntersect",0.0407142857142857,0.992063492063492,30,45,0.05,100
"MantaLumpyIntersect",0.0407142857142857,0.992063492063492,30,45,0.05,150
"MantaLumpyIntersect",0.0407142857142857,0.992063492063492,30,45,0.05,200
"MantaLumpyIntersect",0.18,0.962053571428571,30,45,0.1,2
"MantaLumpyIntersect",0.185,0.988789237668161,30,45,0.1,5
"MantaLumpyIntersect",0.185,0.988789237668161,30,45,0.1,50
"MantaLumpyIntersect",0.188571428571429,0.988913525498891,30,45,0.1,100
"MantaLumpyIntersect",0.188571428571429,0.988913525498891,30,45,0.1,150
"MantaLumpyIntersect",0.188571428571429,0.988913525498891,30,45,0.1,200
"MantaLumpyIntersect",0.46,0.95131845841785,30,45,0.2,2
"MantaLumpyIntersect",0.470714285714286,0.979487179487179,30,45,0.2,5
"MantaLumpyIntersect",0.470714285714286,0.979487179487179,30,45,0.2,50
"MantaLumpyIntersect",0.483571428571429,0.979859013091641,30,45,0.2,100
"MantaLumpyIntersect",0.484285714285714,0.979879275653924,30,45,0.2,150
"MantaLumpyIntersect",0.484285714285714,0.979879275653924,30,45,0.2,200
"MantaLumpyIntersect",0.657857142857143,0.948210205635948,30,45,0.5,2
"MantaLumpyIntersect",0.671428571428571,0.973805855161787,30,45,0.5,5
"MantaLumpyIntersect",0.672142857142857,0.973826020015396,30,45,0.5,50
"MantaLumpyIntersect",0.675,0.973906369915579,30,45,0.5,100
"MantaLumpyIntersect",0.675,0.973906369915579,30,45,0.5,150
"MantaLumpyIntersect",0.675,0.973906369915579,30,45,0.5,200
"MantaLumpyIntersect",0.683571428571429,0.951708766716196,30,45,0.8,2
"MantaLumpyIntersect",0.696428571428571,0.974493623405851,30,45,0.8,5
"MantaLumpyIntersect",0.697857142857143,0.974531835205993,30,45,0.8,50
"MantaLumpyIntersect",0.702142857142857,0.974645786726324,30,45,0.8,100
"MantaLumpyIntersect",0.702142857142857,0.974645786726324,30,45,0.8,150
"MantaLumpyIntersect",0.702142857142857,0.974645786726324,30,45,0.8,200
"MantaLumpyIntersect",0.681428571428571,0.946706143597335,30,45,1,2
"MantaLumpyIntersect",0.699285714285714,0.974588938714499,30,45,1,5
"MantaLumpyIntersect",0.7,0.974607916355489,30,45,1,50
"MantaLumpyIntersect",0.702142857142857,0.974664679582712,30,45,1,100
"MantaLumpyIntersect",0.702142857142857,0.974664679582712,30,45,1,150
"MantaLumpyIntersect",0.702142857142857,0.974664679582712,30,45,1,200
"MantaLumpyIntersect",0.0371428571428571,0.943548387096774,30,60,0.05,2
"MantaLumpyIntersect",0.0392857142857143,0.991869918699187,30,60,0.05,5
"MantaLumpyIntersect",0.0392857142857143,0.991869918699187,30,60,0.05,50
"MantaLumpyIntersect",0.04,0.991935483870968,30,60,0.05,100
"MantaLumpyIntersect",0.04,0.991935483870968,30,60,0.05,150
"MantaLumpyIntersect",0.04,0.991935483870968,30,60,0.05,200
"MantaLumpyIntersect",0.181428571428571,0.964444444444444,30,60,0.1,2
"MantaLumpyIntersect",0.186428571428571,0.988864142538975,30,60,0.1,5
"MantaLumpyIntersect",0.186428571428571,0.988864142538975,30,60,0.1,50
"MantaLumpyIntersect",0.19,0.988986784140969,30,60,0.1,100
"MantaLumpyIntersect",0.19,0.988986784140969,30,60,0.1,150
"MantaLumpyIntersect",0.19,0.988986784140969,30,60,0.1,200
"MantaLumpyIntersect",0.462142857142857,0.950554994954591,30,60,0.2,2
"MantaLumpyIntersect",0.473571428571429,0.979591836734694,30,60,0.2,5
"MantaLumpyIntersect",0.473571428571429,0.979591836734694,30,60,0.2,50
"MantaLumpyIntersect",0.486428571428571,0.979959919839679,30,60,0.2,100
"MantaLumpyIntersect",0.487142857142857,0.97997997997998,30,60,0.2,150
"MantaLumpyIntersect",0.487142857142857,0.97997997997998,30,60,0.2,200
"MantaLumpyIntersect",0.657857142857143,0.948170731707317,30,60,0.5,2
"MantaLumpyIntersect",0.671428571428571,0.97378565921357,30,60,0.5,5
"MantaLumpyIntersect",0.671428571428571,0.97378565921357,30,60,0.5,50
"MantaLumpyIntersect",0.674285714285714,0.973866256725596,30,60,0.5,100
"MantaLumpyIntersect",0.674285714285714,0.973866256725596,30,60,0.5,150
"MantaLumpyIntersect",0.674285714285714,0.973866256725596,30,60,0.5,200
"MantaLumpyIntersect",0.684285714285714,0.952451708766716,30,60,0.8,2
"MantaLumpyIntersect",0.696428571428571,0.974493623405851,30,60,0.8,5
"MantaLumpyIntersect",0.697142857142857,0.974512743628186,30,60,0.8,50
"MantaLumpyIntersect",0.702142857142857,0.974645786726324,30,60,0.8,100
"MantaLumpyIntersect",0.702142857142857,0.974645786726324,30,60,0.8,150
"MantaLumpyIntersect",0.702142857142857,0.974645786726324,30,60,0.8,200
"MantaLumpyIntersect",0.681428571428571,0.946666666666667,30,60,1,2
"MantaLumpyIntersect",0.699285714285714,0.974569932685116,30,60,1,5
"MantaLumpyIntersect",0.699285714285714,0.974569932685116,30,60,1,50
"MantaLumpyIntersect",0.701428571428571,0.974626865671642,30,60,1,100
"MantaLumpyIntersect",0.701428571428571,0.974626865671642,30,60,1,150
"MantaLumpyIntersect",0.701428571428571,0.974626865671642,30,60,1,200
"MantaLumpyIntersect",0.0385714285714286,0.944444444444444,30,75,0.05,2
"MantaLumpyIntersect",0.0407142857142857,0.992,30,75,0.05,5
"MantaLumpyIntersect",0.0407142857142857,0.992,30,75,0.05,50
"MantaLumpyIntersect",0.0414285714285714,0.992063492063492,30,75,0.05,100
"MantaLumpyIntersect",0.0414285714285714,0.992063492063492,30,75,0.05,150
"MantaLumpyIntersect",0.0414285714285714,0.992063492063492,30,75,0.05,200
